,AGG,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2018-06-22 04:00:00,EXIT,EXIT,HOLD,EXIT,EXIT,EXIT,WARNING,EXIT,EXIT,EXIT,EXIT,STAGE_2_BULLISH
2018-06-29 04:00:00,EXIT,EXIT,HOLD,EXIT,EXIT,EXIT,WARNING,EXIT,EXIT,EXIT,EXIT,STAGE_2_BULLISH
2018-07-06 04:00:00,EXIT,EXIT,HOLD,EXIT,EXIT,EXIT,WARNING,EXIT,EXIT,EXIT,EXIT,WARNING
2018-07-13 04:00:00,EXIT,EXIT,HOLD,EXIT,EXIT,EXIT,STAGE_2_BULLISH,EXIT,EXIT,EXIT,EXIT,WARNING
2018-07-20 04:00:00,EXIT,EXIT,WARNING,EXIT,EXIT,EXIT,WARNING,EXIT,EXIT,EXIT,EXIT,WARNING
2018-07-27 04:00:00,EXIT,EXIT,HOLD,WARNING,EXIT,EXIT,WARNING,EXIT,EXIT,EXIT,EXIT,WARNING
2018-08-03 04:00:00,EXIT,EXIT,WARNING,EXIT,EXIT,EXIT,WARNING,EXIT,EXIT,EXIT,EXIT,WARNING
2018-08-10 04:00:00,EXIT,EXIT,EXIT,EXIT,EXIT,EXIT,WARNING,EXIT,EXIT,EXIT,EXIT,WARNING
2018-08-17 04:00:00,EXIT,EXIT,EXIT,EXIT,EXIT,EXIT,WARNING,EXIT,EXIT,EXIT,EXIT,WARNING
2018-08-24 04:00:00,EXIT,EXIT,EXIT,EXIT,EXIT,EXIT,WARNING,EXIT,EXIT,EXIT,EXIT,STAGE_2_BULLISH
2018-08-31 04:00:00,EXIT,EXIT,WARNING,EXIT,EXIT,EXIT,STAGE_2_BULLISH,EXIT,EXIT,EXIT,EXIT,STAGE_2_BULLISH
2018-09-07 04:00:00,EXIT,EXIT,WARNING,BEARISH_STAGE_4,HOLD,EXIT,WARNING,EXIT,EXIT,EXIT,EXIT,STAGE_2_BULLISH
2018-09-14 04:00:00,BEARISH_STAGE_4,EXIT,HOLD,EXIT,EXIT,EXIT,WARNING,EXIT,EXIT,EXIT,EXIT,STAGE_2_BULLISH
2018-09-21 04:00:00,BEARISH_STAGE_4,EXIT,HOLD,EXIT,EXIT,EXIT,WARNING,EXIT,EXIT,EXIT,EXIT,WARNING
2018-09-28 04:00:00,BEARISH_STAGE_4,BEARISH_STAGE_4,HOLD,EXIT,BEARISH_STAGE_4,EXIT,STAGE_2_BULLISH,EXIT,EXIT,EXIT,STAGE_2_BULLISH,WARNING
2018-10-05 04:00:00,BEARISH_STAGE_4,BEARISH_STAGE_4,HOLD,EXIT,EXIT,EXIT,WARNING,EXIT,EXIT,EXIT,STAGE_2_BULLISH,EXIT
2018-10-12 04:00:00,EXIT,BEARISH_STAGE_4,WARNING,EXIT,BEARISH_STAGE_4,EXIT,EXIT,EXIT,EXIT,EXIT,EXIT,EXIT
2018-10-19 04:00:00,EXIT,BEARISH_STAGE_4,EXIT,EXIT,BEARISH_STAGE_4,EXIT,EXIT,EXIT,EXIT,EXIT,EXIT,EXIT
2018-10-26 04:00:00,BEARISH_STAGE_4,BEARISH_STAGE_4,EXIT,EXIT,BEARISH_STAGE_4,BEARISH_STAGE_4,EXIT,EXIT,EXIT,EXIT,EXIT,EXIT
2018-11-02 04:00:00,BEARISH_STAGE_4,BEARISH_STAGE_4,WARNING,EXIT,BEARISH_STAGE_4,BEARISH_STAGE_4,EXIT,EXIT,EXIT,EXIT,WARNING,EXIT
2018-11-09 05:00:00,BEARISH_STAGE_4,EXIT,WARNING,EXIT,EXIT,EXIT,EXIT,EXIT,EXIT,EXIT,STAGE_2_BULLISH,EXIT
2018-11-16 05:00:00,BEARISH_STAGE_4,EXIT,WARNING,EXIT,EXIT,EXIT,EXIT,EXIT,EXIT,EXIT,HOLD,EXIT
2018-11-23 05:00:00,BEARISH_STAGE_4,EXIT,WARNING,EXIT,EXIT,EXIT,EXIT,EXIT,EXIT,EXIT,WARNING,EXIT
2018-11-30 05:00:00,EXIT,EXIT,WARNING,EXIT,EXIT,EXIT,EXIT,EXIT,EXIT,EXIT,WARNING,EXIT
2018-12-07 05:00:00,EXIT,EXIT,WARNING,EXIT,EXIT,EXIT,EXIT,EXIT,WARNING,STAGE_2_BULLISH,WARNING,EXIT
2018-12-14 05:00:00,EXIT,BEARISH_STAGE_4,WARNING,EXIT,EXIT,EXIT,EXIT,EXIT,EXIT,STAGE_2_BULLISH,EXIT,EXIT
2018-12-21 05:00:00,EXIT,BEARISH_STAGE_4,EXIT,BEARISH_STAGE_4,BEARISH_STAGE_4,BEARISH_STAGE_4,EXIT,EXIT,EXIT,HOLD,EXIT,EXIT
