candidate_id,horizon_weeks,gate_status,promotion_label,rejection_reasons,selected_by_calibration,selection_source,final_holdout_evaluated,final_holdout_rows_used,live_promotion_allowed,directions_changed,positive_min_s_score_after_veto,negative_max_s_score_after_veto,calibration_objective_delta,calibration_positive_hit_rate_delta_vs_baseline,calibration_negative_hit_rate_delta_vs_baseline,validation_positive_hit_rate_delta_vs_baseline,validation_negative_hit_rate_delta_vs_baseline,calibration_positive_signal_available_count,calibration_negative_signal_available_count,validation_positive_signal_available_count,validation_negative_signal_available_count,fold_count,minimum_validation_fold_hit_rate_delta,rule_order,calibration_positive_hit_rate,calibration_negative_hit_rate,validation_positive_hit_rate,validation_negative_hit_rate,baseline_calibration_positive_hit_rate,baseline_calibration_negative_hit_rate,baseline_validation_positive_hit_rate,baseline_validation_negative_hit_rate
baseline,4,baseline_reference,do not promote,baseline_reference;final_holdout_not_evaluated,False,calibration_window_only,False,0,False,"positive,negative",,,0.0,0.0,0.0,0.0,0.0,2082,5549,387,1049,2,0.0,0,0.3607108549471662,0.672373400612723,0.3772609819121447,0.6501429933269781,0.3607108549471662,0.672373400612723,0.3772609819121447,0.6501429933269781
positive_score_ge_0_8,4,rejected_unstable_folds,do not promote,unstable_folds;final_holdout_not_evaluated,False,calibration_window_only,False,0,False,positive,0.8,,0.011296511535338394,0.011296511535338394,0.0,0.0025839793281653978,0.0,543,5549,129,1049,2,-0.09770114942528735,1,0.3720073664825046,0.672373400612723,0.3798449612403101,0.6501429933269781,0.3607108549471662,0.672373400612723,0.3772609819121447,0.6501429933269781
positive_score_ge_1_0,4,rejected_unstable_folds,do not promote,unstable_folds;final_holdout_not_evaluated,False,calibration_window_only,False,0,False,positive,1.0,,0.0260815978830225,0.0260815978830225,0.0,0.010974312205502379,0.0,318,5549,85,1049,2,-0.06429597701149425,2,0.3867924528301887,0.672373400612723,0.38823529411764707,0.6501429933269781,0.3607108549471662,0.672373400612723,0.3772609819121447,0.6501429933269781
negative_score_le_0_0,4,blocked_final_holdout_not_evaluated,needs more testing,final_holdout_not_evaluated,False,calibration_window_only,False,0,False,negative,,0.0,-0.0034058135779090337,0.0,-0.0034058135779090337,0.0,0.011784336846797583,2082,3332,387,633,2,0.0,3,0.3607108549471662,0.668967587034814,0.3772609819121447,0.6619273301737757,0.3607108549471662,0.672373400612723,0.3772609819121447,0.6501429933269781
negative_score_le_minus_0_5,4,rejected_negative_signal_degraded,do not promote,negative_signal_degraded;final_holdout_not_evaluated,False,calibration_window_only,False,0,False,negative,,-0.5,-0.007532763162523826,0.0,-0.007532763162523826,0.0,-0.015181553738289222,2082,2008,387,389,2,-0.029281860287446837,4,0.3607108549471662,0.6648406374501992,0.3772609819121447,0.6349614395886889,0.3607108549471662,0.672373400612723,0.3772609819121447,0.6501429933269781
baseline,13,baseline_reference,do not promote,baseline_reference;final_holdout_not_evaluated,False,calibration_window_only,False,0,False,"positive,negative",,,0.0,0.0,0.0,0.0,0.0,2009,5343,351,948,2,0.0,0,0.35639621702339475,0.7531349429159648,0.3475783475783476,0.7172995780590717,0.35639621702339475,0.7531349429159648,0.3475783475783476,0.7172995780590717
positive_score_ge_0_8,13,blocked_final_holdout_not_evaluated,needs more testing,final_holdout_not_evaluated,False,calibration_window_only,False,0,False,positive,0.8,,0.056033161507678675,0.056033161507678675,0.0,0.10157419479453378,0.0,531,5343,118,948,2,0.0,1,0.4124293785310734,0.7531349429159648,0.4491525423728814,0.7172995780590717,0.35639621702339475,0.7531349429159648,0.3475783475783476,0.7172995780590717
positive_score_ge_1_0,13,blocked_final_holdout_not_evaluated,needs more testing,final_holdout_not_evaluated,False,calibration_window_only,False,0,False,positive,1.0,,0.11005745709801101,0.11005745709801101,0.0,0.13390313390313385,0.0,313,5343,81,948,2,0.0,2,0.46645367412140576,0.7531349429159648,0.48148148148148145,0.7172995780590717,0.35639621702339475,0.7531349429159648,0.3475783475783476,0.7172995780590717
negative_score_le_0_0,13,rejected_negative_signal_degraded,do not promote,negative_signal_degraded;final_holdout_not_evaluated,False,calibration_window_only,False,0,False,negative,,0.0,0.0026970944090740634,0.0,0.0026970944090740634,0.0,-5.81987487269231e-05,2009,3215,351,580,2,-0.019161873044706734,3,0.35639621702339475,0.7558320373250389,0.3475783475783476,0.7172413793103448,0.35639621702339475,0.7531349429159648,0.3475783475783476,0.7172995780590717
negative_score_le_minus_0_5,13,rejected_negative_signal_degraded,do not promote,negative_signal_degraded;final_holdout_not_evaluated,False,calibration_window_only,False,0,False,negative,,-0.5,-0.0172176302544661,0.0,-0.0172176302544661,0.0,-0.018708028763297135,2009,1935,351,355,2,-0.019129944564502455,4,0.35639621702339475,0.7359173126614987,0.3475783475783476,0.6985915492957746,0.35639621702339475,0.7531349429159648,0.3475783475783476,0.7172995780590717
