candidate_id,scope,sector,direction,horizon_weeks,train_signal_count,holdout_signal_count,train_hit_rate,holdout_hit_rate,baseline_train_hit_rate,baseline_holdout_hit_rate,train_hit_rate_delta_vs_baseline,holdout_hit_rate_delta_vs_baseline,holdout_positive_hit_rate_delta_vs_baseline,holdout_negative_hit_rate_delta_vs_baseline,holdout_average_forward_return,holdout_average_forward_excess_return,holdout_average_post_entry_drawdown,baseline_holdout_average_post_entry_drawdown,holdout_max_drawdown_delta_vs_baseline,bootstrap_mean_delta,bootstrap_ci_low,bootstrap_ci_high,bootstrap_sample_count,bootstrap_candidate_sample_count,bootstrap_baseline_sample_count,fold_stability_passed,holdout_evaluated,promotion_label,rejection_reasons,research_only,live_promotion_allowed
factors_negative_score_le_0_0,Factors,Factors,negative,13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,True,False,do not promote,thin_sample,True,False
factors_negative_score_le_minus_0_5,Factors,Factors,negative,13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,True,False,do not promote,thin_sample,True,False
factors_negative_score_le_minus_1_0,Factors,Factors,negative,13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,True,False,do not promote,thin_sample,True,False
factors_positive_score_ge_0_8,Factors,Factors,positive,13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,True,False,do not promote,thin_sample,True,False
factors_positive_score_ge_0_8_rel_strength_ge_0_0,Factors,Factors,positive,13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,True,False,do not promote,thin_sample,True,False
factors_positive_score_ge_1_0,Factors,Factors,positive,13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,True,False,do not promote,thin_sample,True,False
factors_positive_score_ge_1_0_rel_strength_ge_0_0,Factors,Factors,positive,13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,True,False,do not promote,thin_sample,True,False
factors_positive_score_ge_1_2,Factors,Factors,positive,13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,True,False,do not promote,thin_sample,True,False
factors_positive_score_ge_1_2_rel_strength_ge_0_0,Factors,Factors,positive,13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,True,False,do not promote,thin_sample,True,False
global_negative_score_le_0_0,global,global,negative,13,1595,905,0.754858934169279,0.7071823204419889,0.7533006412674462,0.719583604424203,0.0015582929018327363,-0.012401283982214073,0.0,-0.012401283982214073,0.034699777637812124,-0.008437289243028086,-0.04731603633597097,-0.044836012336417784,-0.002480023999553188,-0.012401,-0.050183,0.024546,2442,905,1537,False,True,needs more testing,holdout_no_improvement,True,False
